,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,squadName
0,2021-08-13,20:30,Bundesliga,Matchweek 1,Fri,Away,D,1.0,1.0,M'Gladbach,2.6,2.0,65.0,22925.0,Manuel Neuer,4-2-3-1,Marco Fritz,Match Report,,Bayern Munich
2,2021-08-22,17:30,Bundesliga,Matchweek 2,Sun,Home,W,3.0,2.0,Köln,2.6,0.8,57.0,20000.0,Manuel Neuer,4-2-3-1,Martin Petersen,Match Report,,Bayern Munich
4,2021-08-28,18:30,Bundesliga,Matchweek 3,Sat,Home,W,5.0,0.0,Hertha BSC,3.0,0.4,62.0,25000.0,Manuel Neuer,4-2-3-1,Sven Jablonski,Match Report,,Bayern Munich
5,2021-09-11,18:30,Bundesliga,Matchweek 4,Sat,Away,W,4.0,1.0,RB Leipzig,4.2,0.5,48.0,34000.0,Manuel Neuer,4-2-3-1,Deniz Aytekin,Match Report,,Bayern Munich
7,2021-09-18,15:30,Bundesliga,Matchweek 5,Sat,Home,W,7.0,0.0,Bochum,4.5,1.0,69.0,25000.0,Manuel Neuer,4-2-3-1,Tobias Welz,Match Report,,Bayern Munich
8,2021-09-24,20:30,Bundesliga,Matchweek 6,Fri,Away,W,3.0,1.0,Greuther Fürth,0.9,1.0,67.0,11740.0,Manuel Neuer,3-4-3,Robert Schröder,Match Report,,Bayern Munich
10,2021-10-03,17:30,Bundesliga,Matchweek 7,Sun,Home,L,1.0,2.0,Eint Frankfurt,2.7,0.7,72.0,25000.0,Manuel Neuer,4-2-3-1,Florian Badstübner,Match Report,,Bayern Munich
11,2021-10-17,15:30,Bundesliga,Matchweek 8,Sun,Away,W,5.0,1.0,Leverkusen,3.1,0.8,59.0,29542.0,Manuel Neuer,4-2-3-1,Sven Jablonski,Match Report,,Bayern Munich
13,2021-10-23,15:30,Bundesliga,Matchweek 9,Sat,Home,W,4.0,0.0,Hoffenheim,2.1,0.7,62.0,60000.0,Manuel Neuer,4-2-3-1,Matthias Jöllenbeck,Match Report,,Bayern Munich
15,2021-10-30,15:30,Bundesliga,Matchweek 10,Sat,Away,W,5.0,2.0,Union Berlin,3.3,1.1,60.0,16509.0,Manuel Neuer,4-2-3-1,Harm Osmers,Match Report,,Bayern Munich
17,2021-11-06,15:30,Bundesliga,Matchweek 11,Sat,Home,W,2.0,1.0,Freiburg,3.5,1.1,63.0,75000.0,Manuel Neuer,4-2-3-1,Sascha Stegemann,Match Report,,Bayern Munich
18,2021-11-19,20:30,Bundesliga,Matchweek 12,Fri,Away,L,1.0,2.0,Augsburg,1.6,0.3,79.0,26000.0,Manuel Neuer,4-2-3-1,Daniel Siebert,Match Report,,Bayern Munich
20,2021-11-27,18:30,Bundesliga,Matchweek 13,Sat,Home,W,1.0,0.0,Arminia,2.3,0.5,73.0,12000.0,Manuel Neuer,4-2-3-1,Marco Fritz,Match Report,,Bayern Munich
21,2021-12-04,18:30,Bundesliga,Matchweek 14,Sat,Away,W,3.0,2.0,Dortmund,2.0,1.1,53.0,15000.0,Manuel Neuer,4-2-3-1,Felix Zwayer,Match Report,,Bayern Munich
23,2021-12-11,15:30,Bundesliga,Matchweek 15,Sat,Home,W,2.0,1.0,Mainz 05,1.9,0.8,64.0,,Manuel Neuer,4-2-3-1,Benjamin Cortus,Match Report,,Bayern Munich
24,2021-12-14,18:30,Bundesliga,Matchweek 16,Tue,Away,W,5.0,0.0,Stuttgart,3.3,0.9,57.0,750.0,Manuel Neuer,4-2-3-1,Robert Schröder,Match Report,,Bayern Munich
25,2021-12-17,20:30,Bundesliga,Matchweek 17,Fri,Home,W,4.0,0.0,Wolfsburg,3.2,1.2,62.0,,Manuel Neuer,4-2-3-1,Tobias Welz,Match Report,,Bayern Munich
26,2022-01-07,20:30,Bundesliga,Matchweek 18,Fri,Home,L,1.0,2.0,M'Gladbach,1.7,1.1,61.0,,Thomas Müller,4-2-3-1,Daniel Siebert,Match Report,,Bayern Munich
27,2022-01-15,15:30,Bundesliga,Matchweek 19,Sat,Away,W,4.0,0.0,Köln,3.4,1.2,52.0,1000.0,Manuel Neuer,4-2-3-1,Tobias Welz,Match Report,,Bayern Munich
28,2022-01-23,17:30,Bundesliga,Matchweek 20,Sun,Away,W,4.0,1.0,Hertha BSC,3.9,0.9,70.0,3000.0,Manuel Neuer,3-4-3,Bastian Dankert,Match Report,,Bayern Munich
29,2022-02-05,18:30,Bundesliga,Matchweek 21,Sat,Home,W,3.0,2.0,RB Leipzig,2.9,2.1,58.0,10000.0,Manuel Neuer,3-4-3,Sven Jablonski,Match Report,,Bayern Munich
30,2022-02-12,15:30,Bundesliga,Matchweek 22,Sat,Away,L,2.0,4.0,Bochum,2.2,1.3,64.0,10000.0,Thomas Müller,4-2-3-1,Robert Schröder,Match Report,,Bayern Munich
32,2022-02-20,15:30,Bundesliga,Matchweek 23,Sun,Home,W,4.0,1.0,Greuther Fürth,2.7,0.9,77.0,25000.0,Thomas Müller,4-2-3-1,Robert Hartmann,Match Report,,Bayern Munich
33,2022-02-26,18:30,Bundesliga,Matchweek 24,Sat,Away,W,1.0,0.0,Eint Frankfurt,2.0,0.8,70.0,25000.0,Robert Lewandowski,3-4-3,Florian Badstübner,Match Report,,Bayern Munich
34,2022-03-05,15:30,Bundesliga,Matchweek 25,Sat,Home,D,1.0,1.0,Leverkusen,1.4,1.8,68.0,25000.0,Thomas Müller,4-2-3-1,Daniel Siebert,Match Report,,Bayern Munich
36,2022-03-12,15:30,Bundesliga,Matchweek 26,Sat,Away,D,1.0,1.0,Hoffenheim,3.3,1.4,61.0,25600.0,Manuel Neuer,3-4-3,Robert Schröder,Match Report,,Bayern Munich
37,2022-03-19,18:30,Bundesliga,Matchweek 27,Sat,Home,W,4.0,0.0,Union Berlin,2.9,0.8,71.0,37000.0,Manuel Neuer,4-1-4-1,Harm Osmers,Match Report,,Bayern Munich
38,2022-04-02,15:30,Bundesliga,Matchweek 28,Sat,Away,W,4.0,1.0,Freiburg,2.0,0.6,61.0,34700.0,Manuel Neuer,4-2-3-1,Christian Dingert,Match Report,,Bayern Munich
40,2022-04-09,15:30,Bundesliga,Matchweek 29,Sat,Home,W,1.0,0.0,Augsburg,1.8,0.3,67.0,75000.0,Manuel Neuer,4-2-3-1,Patrick Ittrich,Match Report,,Bayern Munich
42,2022-04-17,15:30,Bundesliga,Matchweek 30,Sun,Away,W,3.0,0.0,Arminia,2.2,0.7,74.0,26419.0,Manuel Neuer,3-4-3,Matthias Jöllenbeck,Match Report,,Bayern Munich
43,2022-04-23,18:30,Bundesliga,Matchweek 31,Sat,Home,W,3.0,1.0,Dortmund,,,58.0,75000.0,Manuel Neuer,4-2-3-1,Daniel Siebert,Match Report,,Bayern Munich
44,2022-04-30,15:30,Bundesliga,Matchweek 32,Sat,Away,,,,Mainz 05,,,,,,,,Head-to-Head,,Bayern Munich
45,2022-05-08,17:30,Bundesliga,Matchweek 33,Sun,Home,,,,Stuttgart,,,,,,,,Head-to-Head,,Bayern Munich
46,2022-05-14,15:30,Bundesliga,Matchweek 34,Sat,Away,,,,Wolfsburg,,,,,,,,Head-to-Head,,Bayern Munich
1,2021-08-14,18:30,Bundesliga,Matchweek 1,Sat,Home,W,5.0,2.0,Eint Frankfurt,2.5,1.8,60.0,25000.0,Marco Reus,4-2-3-1,Tobias Stieler,Match Report,,Dortmund
3,2021-08-21,15:30,Bundesliga,Matchweek 2,Sat,Away,L,1.0,2.0,Freiburg,1.5,1.0,77.0,10100.0,Marco Reus,4-4-2◆,Robert Schröder,Match Report,,Dortmund
4,2021-08-27,20:30,Bundesliga,Matchweek 3,Fri,Home,W,3.0,2.0,Hoffenheim,3.6,1.8,59.0,25000.0,Marco Reus,4-4-2◆,Felix Zwayer,Match Report,,Dortmund
5,2021-09-11,15:30,Bundesliga,Matchweek 4,Sat,Away,W,4.0,3.0,Leverkusen,2.1,0.9,58.0,17605.0,Marco Reus,4-3-2-1,Daniel Siebert,Match Report,,Dortmund
7,2021-09-19,17:30,Bundesliga,Matchweek 5,Sun,Home,W,4.0,2.0,Union Berlin,0.9,1.4,63.0,25000.0,Marco Reus,4-3-3,Sven Jablonski,Match Report,,Dortmund
8,2021-09-25,18:30,Bundesliga,Matchweek 6,Sat,Away,L,0.0,1.0,M'Gladbach,0.4,1.4,45.0,25000.0,Mats Hummels,3-5-2,Deniz Aytekin,Match Report,,Dortmund
10,2021-10-02,15:30,Bundesliga,Matchweek 7,Sat,Home,W,2.0,1.0,Augsburg,3.0,0.8,70.0,41000.0,Marco Reus,4-2-3-1,Tobias Welz,Match Report,,Dortmund
11,2021-10-16,15:30,Bundesliga,Matchweek 8,Sat,Home,W,3.0,1.0,Mainz 05,2.3,0.6,67.0,63812.0,Marco Reus,4-3-3,Daniel Schlager,Match Report,,Dortmund
13,2021-10-23,15:30,Bundesliga,Matchweek 9,Sat,Away,W,3.0,1.0,Arminia,2.4,1.7,69.0,25000.0,Marco Reus,3-4-3,Benjamin Brand,Match Report,,Dortmund
15,2021-10-30,15:30,Bundesliga,Matchweek 10,Sat,Home,W,2.0,0.0,Köln,1.3,1.3,43.0,66709.0,Marco Reus,3-4-3,Martin Petersen,Match Report,,Dortmund
17,2021-11-06,18:30,Bundesliga,Matchweek 11,Sat,Away,L,1.0,2.0,RB Leipzig,1.2,2.4,46.0,43429.0,Marco Reus,3-4-3,Felix Zwayer,Match Report,,Dortmund
18,2021-11-20,15:30,Bundesliga,Matchweek 12,Sat,Home,W,2.0,1.0,Stuttgart,1.7,1.4,64.0,57900.0,Marco Reus,4-2-3-1,Harm Osmers,Match Report,,Dortmund
20,2021-11-27,15:30,Bundesliga,Matchweek 13,Sat,Away,W,3.0,1.0,Wolfsburg,2.2,1.4,58.0,13281.0,Marco Reus,4-2-3-1,Sven Jablonski,Match Report,,Dortmund
21,2021-12-04,18:30,Bundesliga,Matchweek 14,Sat,Home,L,2.0,3.0,Bayern Munich,1.1,2.0,47.0,15000.0,Marco Reus,4-4-2◆,Felix Zwayer,Match Report,,Dortmund
23,2021-12-11,15:30,Bundesliga,Matchweek 15,Sat,Away,D,1.0,1.0,Bochum,2.5,0.9,66.0,13799.0,Marco Reus,4-2-3-1,Matthias Jöllenbeck,Match Report,,Dortmund
24,2021-12-15,20:30,Bundesliga,Matchweek 16,Wed,Home,W,3.0,0.0,Greuther Fürth,1.8,0.6,68.0,15000.0,Marco Reus,4-2-3-1,Daniel Schlager,Match Report,,Dortmund
25,2021-12-18,18:30,Bundesliga,Matchweek 17,Sat,Away,L,2.0,3.0,Hertha BSC,1.2,1.6,60.0,5000.0,Marco Reus,4-2-3-1,Marco Fritz,Match Report,,Dortmund
26,2022-01-08,18:30,Bundesliga,Matchweek 18,Sat,Away,W,3.0,2.0,Eint Frankfurt,2.4,1.2,63.0,250.0,Marco Reus,4-3-3,Robert Schröder,Match Report,,Dortmund
27,2022-01-14,20:30,Bundesliga,Matchweek 19,Fri,Home,W,5.0,1.0,Freiburg,1.8,0.7,66.0,750.0,Marco Reus,4-3-3,Florian Badstübner,Match Report,,Dortmund
29,2022-01-22,15:30,Bundesliga,Matchweek 20,Sat,Away,W,3.0,2.0,Hoffenheim,1.5,1.5,42.0,500.0,Marco Reus,4-3-3,Deniz Aytekin,Match Report,,Dortmund
30,2022-02-06,15:30,Bundesliga,Matchweek 21,Sun,Home,L,2.0,5.0,Leverkusen,1.3,2.1,64.0,10000.0,Marco Reus,4-3-3,Daniel Siebert,Match Report,,Dortmund
31,2022-02-13,15:30,Bundesliga,Matchweek 22,Sun,Away,W,3.0,0.0,Union Berlin,1.9,1.3,60.0,10000.0,Marco Reus,4-3-3,Matthias Jöllenbeck,Match Report,,Dortmund
33,2022-02-20,17:30,Bundesliga,Matchweek 23,Sun,Home,W,6.0,0.0,M'Gladbach,3.5,0.8,51.0,10000.0,Marco Reus,3-4-3,Marco Fritz,Match Report,,Dortmund
35,2022-02-27,17:30,Bundesliga,Matchweek 24,Sun,Away,D,1.0,1.0,Augsburg,0.5,0.9,63.0,15330.0,Mats Hummels,3-5-2,Deniz Aytekin,Match Report,,Dortmund
